awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
2019,Peace,The Nobel Peace Prize,1,1,9000000,9000000,10/11/2019,received,for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2019,981,Abiy Ahmed Ali,Abiy Ahmed Ali,Abiy,Ahmed Ali,Abiy Ahmed Ali,,male,http://masterdataapi.nobelprize.org/2/laureate/981,8/15/1976,Beshasha,Beshasha,Africa,Ethiopia,Ethiopia,"Beshasha, Ethiopia",,,,,,,,,,,,,,,,,,Individual,,,,,,
2018,Peace,The Nobel Peace Prize,1,2-Jan,9000000,9000000,10/5/2018,received,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2018,966,Denis Mukwege,Denis Mukwege,Denis,Mukwege,Denis Mukwege,,male,http://masterdataapi.nobelprize.org/2/laureate/966,3/1/1955,Bukavu,Bukavu,Africa,Belgian Congo,Democratic Republic of the Congo,"Bukavu, Belgian Congo (now Democratic Republic of the Congo)",,,,,,,,,,,,,,,,,,Individual,,,,,,
2018,Peace,The Nobel Peace Prize,2,2-Jan,9000000,9000000,10/5/2018,received,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2018,967,Nadia Murad,Nadia Murad,Nadia,Murad,Nadia Murad Basee Taha,,female,http://masterdataapi.nobelprize.org/2/laureate/967,1993-00-00,Kojo,Kojo,Asia,Iraq,Iraq,"Kojo, Iraq",,,,,,,,,,,,,,,,,,Individual,,,,,,
2017,Peace,The Nobel Peace Prize,1,1,9000000,9176183,10/6/2017,received,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2017,948,International Campaign to Abolish Nuclear Weapons (ICAN),,,,,,,http://masterdataapi.nobelprize.org/2/laureate/948,,,,,,,,,,,,,,,International Campaign to Abolish Nuclear Weapons (ICAN),International Campaign to Abolish Nuclear Weapons (ICAN),ICAN,2007-00-00,,,Oceania,Australia,Australia,Australia,Organization,,,,,,
2016,Peace,The Nobel Peace Prize,1,1,8000000,8301051,10/7/2016,received,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2016,934,Juan Manuel Santos,Juan Manuel Santos,Juan Manuel,Santos,Juan Manuel Santos,,male,http://masterdataapi.nobelprize.org/2/laureate/934,8/10/1951,Bogotá,Bogotá,South America,Colombia,Colombia,"Bogotá, Colombia",,,,,,,,,,,,,,,,,,Individual,,,,,,
2015,Peace,The Nobel Peace Prize,1,1,8000000,8384572,10/9/2015,received,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2015,925,National Dialogue Quartet ,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/925,,,,,,,,,,,,,,,National Dialogue Quartet ,National Dialogue Quartet,,,,,,,,,Organization,,,,,,
2014,Peace,The Nobel Peace Prize,1,2-Jan,8000000,8379888,10/10/2014,received,for their struggle against the suppression of children and young people and for the right of all children to education,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2014,913,Kailash Satyarthi,Kailash Satyarthi,Kailash,Satyarthi,Kailash Satyarthi,,male,http://masterdataapi.nobelprize.org/2/laureate/913,1/11/1954,Vidisha,Vidisha,Asia,India,India,"Vidisha, India",,,,,,,,,,,,,,,,,,Individual,India,,,,,
2014,Peace,The Nobel Peace Prize,2,2-Jan,8000000,8379888,10/10/2014,received,for their struggle against the suppression of children and young people and for the right of all children to education,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2014,914,Malala Yousafzai,Malala Yousafzai,Malala,Yousafzai,Malala Yousafzai,,female,http://masterdataapi.nobelprize.org/2/laureate/914,7/12/1997,Mingora,Mingora,Asia,Pakistan,Pakistan,"Mingora, Pakistan",,,,,,,,,,,,,,,,,,Individual,United Kingdom,,,,,
2013,Peace,The Nobel Peace Prize,1,1,8000000,8365867,10/11/2013,received,for its extensive efforts to eliminate chemical weapons,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2013,893,Organisation for the Prohibition of Chemical Weapons,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/893,,,,,,,,,,,,,,,Organisation for the Prohibition of Chemical Weapons,Organisation for the Prohibition of Chemical Weapons (OPCW),OPCW,1997-00-00,,,,,,N/A,Organization,,,,,,
2012,Peace,The Nobel Peace Prize,1,1,8000000,8361204,10/12/2012,received,for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2012,881,European Union (EU),,,,,,,http://masterdataapi.nobelprize.org/2/laureate/881,,,,,,,,,,,,,,,European Union (EU),European Union (EU),EU,1952-00-00,,,,,,N/A,Organization,,,,,,
